UniProt ID (2598),Description,Resistance mechanism
Q3Z0C9,Multidrug resistance protein MdtB,efflux pump
Q3Z1V2,Spermidine export protein MdtI,efflux pump
Q3Z1V3,Spermidine export protein MdtJ,efflux pump
Q3Z218,Multidrug resistance protein MdtK,efflux pump
Q3Z351,Multidrug resistance protein MdtH,efflux pump
Q3Z3Q4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q43899,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q44056,Beta-lactamase AER-1,product inactivation
Q44057,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q44245,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q44674,Beta-lactamase,product inactivation
Q45726,Beta-lactamase,product inactivation
Q46306,Tetracycline resistance protein TetP,target protection
Q46L84,Undecaprenyl-diphosphatase,target alteration
Q47066,Beta-lactamase Toho-1,product inactivation
Q474P6,Undecaprenyl-diphosphatase,target alteration
Q47744,Regulatory protein VanRB,target alteration
Q47745,Sensor protein VanSB,target alteration
Q47746,D-alanyl-D-alanine carboxypeptidase,target alteration
Q47747,Vancomycin B-type resistance protein VanW,target alteration
Q47748,D-specific alpha-keto acid dehydrogenase,target alteration
Q47749,D-alanyl-D-alanine dipeptidase,target alteration
Q47810,Tetracycline resistance protein TetM from transposon TnFO1,target protection
Q478U2,Undecaprenyl-diphosphatase,target alteration
Q47NU8,Undecaprenyl-diphosphatase,target alteration
Q47W31,Undecaprenyl-diphosphatase,target alteration
Q48406,Beta-lactamase TEM-12,product inactivation
Q48712,Tetracycline resistance protein TetS,target protection
Q48743,Beta-lactamase,product inactivation
Q48791,Tetracycline resistance protein TetS,target protection
Q48HY9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q48HZ1,Bifunctional polymyxin resistance protein ArnA,target alteration
Q48HZ2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q48JI5,Undecaprenyl-diphosphatase,target alteration
Q48KB2,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q48VA9,Undecaprenyl-diphosphatase,target alteration
Q49157,Aminoglycoside 2'-N-acetyltransferase,product inactivation
Q49184,Dihydropteroate synthase type-1,target alteration
Q492K8,Multidrug resistance protein MdtH,efflux pump
Q493X5,Undecaprenyl-diphosphatase,target alteration
Q49VC5,Multidrug export protein MepA,efflux pump
Q49VN0,Undecaprenyl-diphosphatase,target alteration
Q49VY9,Metallothiol transferase FosB,product inactivation
Q49WZ9,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q49ZB2,Multidrug resistance efflux pump SepA,efflux pump
Q4FNI5,Undecaprenyl-diphosphatase,target alteration
Q4FR05,Undecaprenyl-diphosphatase,target alteration
Q4FU75,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q4JVN6,Undecaprenyl-diphosphatase 2,target alteration
Q4JXD8,Undecaprenyl-diphosphatase 1,target alteration
Q4K884,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 2,target alteration
Q4K9A4,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q4KC13,Undecaprenyl-diphosphatase,target alteration
Q4KC80,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 1,target alteration
Q4KC82,Bifunctional polymyxin resistance protein ArnA,target alteration
Q4KC83,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q4KES7,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q4L2Y9,Metallothiol transferase FosB,product inactivation
Q4L4A6,Undecaprenyl-diphosphatase,target alteration
Q4L5R9,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q4L605,Bifunctional AAC/APH,product inactivation
Q4L667,Phosphatidylglycerol lysyltransferase,target alteration
Q4L843,Multidrug resistance efflux pump SepA,efflux pump
Q4L8N9,Multidrug export protein MepA,efflux pump
Q4V093,Undecaprenyl-diphosphatase,target alteration
Q4VR96,Probable nucleotidyltransferase,product inactivation
Q4VR99,Spectinomycin 9-adenylyltransferase,product inactivation
Q4ZS30,Undecaprenyl-diphosphatase,target alteration
Q4ZSZ0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q4ZSZ2,Bifunctional polymyxin resistance protein ArnA,target alteration
Q4ZSZ3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q4ZT65,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q4ZV10,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q50919,Mercuric transport protein MerC,efflux pump
Q51238,Tetracycline resistance protein TetM,target protection
Q51355,Beta-lactamase CARB-4,product inactivation
Q51397,Outer membrane protein OprJ,efflux pump
Q51429,Beta-lactamase OXA-3,product inactivation
Q51487,Outer membrane protein OprM,efflux pump
Q51574,Beta-lactamase OXA-15,product inactivation
Q51770,Mercuric transport protein periplasmic component,efflux pump
Q52107,Mercuric transport protein periplasmic component,efflux pump
Q52360,Tetracycline resistance protein TetQ,target protection
Q52424,Aminoglycoside 2'-N-acetyltransferase,product inactivation
Q52S23,Bifunctional AAC/APH,product inactivation
Q53685,Oleandomycin glycosyltransferase,product inactivation
Q53770,Tetracycline resistance protein TetM,target protection
Q54001,Outer membrane protein TolC,efflux pump
Q54277,Dihydrofolate reductase,product inactivation
Q54387,Macrolide glycosyltransferase,product inactivation
Q54441,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q54463,Mercuric transport protein periplasmic component,efflux pump
Q54801,Dihydrofolate reductase,product inactivation
Q54807,Tetracycline resistance protein TetM from transposon Tn5251,target protection
Q55002,Oxytetracycline resistance protein,target alteration
Q55317,Metallothiol transferase FosB,product inactivation
Q55339,Quaternary ammonium compound-resistance protein QacC,efflux pump
Q55364,Probable multidrug resistance protein NorM,efflux pump
Q55684,Undecaprenyl-diphosphatase,target alteration
Q56148,Chloramphenicol 3-O phosphotransferase,product inactivation
Q56415,Glutathione transferase FosA,product inactivation
Q57124,Uncharacterized transporter HI_0895,efflux pump
Q57146,Phosphinothricin N-acetyltransferase,product inactivation
Q576S3,Undecaprenyl-diphosphatase,target alteration
Q57HZ5,Multidrug resistance protein MdtL,efflux pump
Q57JQ4,Undecaprenyl-diphosphatase,target alteration
Q57M54,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q57M56,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q57MM4,Multidrug resistance protein MdtC,efflux pump
Q57MM5,Multidrug resistance protein MdtB,efflux pump
Q57PF4,Spermidine export protein MdtI,efflux pump
Q57PF5,Spermidine export protein MdtJ,efflux pump
Q57PL1,Multidrug resistance protein MdtK,efflux pump
Q57QC3,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
Q57QC4,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
Q57QJ1,Multidrug resistance protein MdtH,efflux pump
Q57QK4,Multidrug resistance protein MdtG,efflux pump
Q57R58,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q59397,Dihydrofolate reductase type 9,product inactivation
Q59408,Dihydrofolate reductase type A13,product inactivation
Q59514,Beta-lactamase BRO-1,product inactivation
Q59517,Beta-lactamase,product inactivation
Q59622,DNA-directed RNA polymerase subunit beta,target replacement
Q5E2K6,Undecaprenyl-diphosphatase,target alteration
Q5E4Y6,Multidrug resistance protein NorM,efflux pump
Q5F6K4,Undecaprenyl-diphosphatase,target alteration
Q5F6V6,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q5FUS6,Undecaprenyl-diphosphatase,target alteration
Q5GU80,Undecaprenyl-diphosphatase,target alteration
Q5HDM4,Metallothiol transferase FosB,product inactivation
Q5HE37,Multidrug resistance efflux pump SepA,efflux pump
Q5HF02,Arsenical pump membrane protein,efflux pump
Q5HFY7,Quinolone resistance protein NorB,efflux pump
Q5HG04,Response regulator ArlR,efflux pump
Q5HG59,Phosphatidylglycerol lysyltransferase,target alteration
Q5HGL4,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q5HHX4,Quinolone resistance protein NorA,efflux pump
Q5HHY2,HTH-type transcriptional regulator MgrA,efflux pump
Q5HHY5,Undecaprenyl-diphosphatase,target alteration
Q5HIW0,Multidrug export protein MepA,efflux pump
Q5HJX6,Sensor protein kinase WalK,target alteration
Q5HK32,Methicillin resistance mecR1 protein,target replacement
Q5HKJ6,Metallothiol transferase FosB,product inactivation
Q5HLY6,Lipid II:glycine glycyltransferase,target alteration
Q5HM62,Multidrug resistance efflux pump SepA,efflux pump
Q5HMP3,Bifunctional AAC/APH,product inactivation
Q5HPI1,Phosphatidylglycerol lysyltransferase,target alteration
Q5HPX3,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q5HR54,Undecaprenyl-diphosphatase,target alteration
Q5HRI3,Arsenical pump membrane protein,efflux pump
Q5HVG3,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q5HWW4,Undecaprenyl-diphosphatase,target alteration
Q5KZL2,Probable multidrug resistance protein NorM,efflux pump
Q5L3H7,Undecaprenyl-diphosphatase,target alteration
Q5LJ30,Undecaprenyl-diphosphatase,target alteration
Q5LLZ3,Undecaprenyl-diphosphatase,target alteration
Q5M1R0,Undecaprenyl-diphosphatase,target alteration
Q5M6A1,Undecaprenyl-diphosphatase,target alteration
Q5MK06,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q5MZD9,Probable multidrug resistance protein NorM,efflux pump
Q5N052,Undecaprenyl-diphosphatase,target alteration
Q5NYX9,Probable multidrug resistance protein NorM,efflux pump
Q5P6D5,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q5P6K4,Undecaprenyl-diphosphatase,target alteration
Q5PC58,Purine ribonucleoside efflux pump NepI,efflux pump
Q5PC81,Undecaprenyl-diphosphatase,target alteration
Q5PDW7,Multidrug resistance protein MdtB,efflux pump
Q5PDW8,Multidrug resistance protein MdtC,efflux pump
Q5PDW9,Putative multidrug resistance protein MdtD,efflux pump
Q5PGK9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q5PGW7,Multidrug resistance protein MdtH,efflux pump
Q5PGY0,Multidrug resistance protein MdtG,efflux pump
Q5PH16,Multidrug resistance protein MdtK,efflux pump
Q5PHJ7,Spermidine export protein MdtJ,efflux pump
Q5PKV6,Multidrug resistance protein MdtL,efflux pump
Q5PMJ0,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
Q5PMJ1,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
Q5PNA5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q5PNA6,Bifunctional polymyxin resistance protein ArnA,target alteration
Q5PNA8,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q5QUY5,Undecaprenyl-diphosphatase,target alteration
Q5QWR6,Probable multidrug resistance protein NorM,efflux pump
Q5SLX1,Undecaprenyl-diphosphatase,target alteration
Q5WCX5,Undecaprenyl-diphosphatase 2,target alteration
Q5WE80,Metallothiol transferase FosB,product inactivation
Q5WH44,Undecaprenyl-diphosphatase 1,target alteration
Q5WJ42,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
Q5WNX0,Bacitracin transport ATP-binding protein BcrA,efflux pump
Q5WNX1,Bacitracin transport permease protein BcrB,efflux pump
Q5WNX2,Undecaprenyl-diphosphatase,target alteration
Q5XBB2,Macrolide efflux protein A,efflux pump
Q5XDV8,Undecaprenyl-diphosphatase,target alteration
Q5YTV5,Rifampicin monooxygenase,product inactivation
Q5YVL4,Undecaprenyl-diphosphatase,target alteration
Q5YWV1,Virginiamycin B lyase,product inactivation
Q5YXD6,Beta-lactamase FAR-1,product inactivation
Q60B18,Undecaprenyl-diphosphatase,target alteration
Q62HT6,Undecaprenyl-diphosphatase,target alteration
Q62LW6,Probable multidrug resistance protein NorM,efflux pump
Q62ZD8,Virginiamycin B lyase,product inactivation
Q63AN4,Undecaprenyl-diphosphatase 4,target alteration
Q63CC5,Metallothiol transferase FosB,product inactivation
Q63DZ3,Undecaprenyl-diphosphatase 3,target alteration
Q63DZ4,Probable multidrug resistance protein NorM,efflux pump
Q63FW2,Undecaprenyl-diphosphatase 2,target alteration
Q63GU6,Undecaprenyl-diphosphatase 1,target alteration
Q63MM6,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q63RM9,Undecaprenyl-diphosphatase 2,target alteration
Q63S57,Probable multidrug resistance protein NorM,efflux pump
Q63V58,Undecaprenyl-diphosphatase 1,target alteration
Q650L9,Undecaprenyl-diphosphatase,target alteration
Q65FP0,Undecaprenyl-diphosphatase 2,target alteration
Q65IG9,Probable multidrug resistance protein NorM,efflux pump
Q65JB1,Multidrug resistance protein EbrA,efflux pump
Q65JB2,Multidrug resistance protein EbrB,efflux pump
Q65KJ5,Metallothiol transferase FosB,product inactivation
Q65KV0,Probable guanidinium efflux system subunit GdnD,efflux pump
Q65KV1,Probable guanidinium efflux system subunit GdnC,efflux pump
Q65LE3,Undecaprenyl-diphosphatase 1,target alteration
Q65SY9,Probable multidrug resistance protein NorM,efflux pump
Q65TH4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q662A7,Undecaprenyl-diphosphatase,target alteration
Q665U8,Undecaprenyl-diphosphatase,target alteration
Q668C4,Putative multidrug resistance protein MdtD,efflux pump
Q668C5,Multidrug resistance protein MdtC,efflux pump
Q668C6,Multidrug resistance protein MdtB,efflux pump
Q668C7,Multidrug resistance protein MdtA,efflux pump
Q668L6,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q66A06,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q66A27,Multidrug resistance protein MdtK,efflux pump
Q66AS8,Spermidine export protein MdtI,efflux pump
Q66AS9,Spermidine export protein MdtJ,efflux pump
Q66AV8,Multidrug resistance protein MdtH,efflux pump
Q66CL2,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q66FD1,Guanidinium exporter,efflux pump
Q67LG6,Undecaprenyl-diphosphatase,target alteration
Q6A5N5,Undecaprenyl-diphosphatase,target alteration
Q6AKL2,Undecaprenyl-diphosphatase,target alteration
Q6D159,Undecaprenyl-diphosphatase,target alteration
Q6D2A9,Putative multidrug resistance protein MdtD,efflux pump
Q6D2B0,Multidrug resistance protein MdtC,efflux pump
Q6D2B1,Multidrug resistance protein MdtB,efflux pump
Q6D2B2,Multidrug resistance protein MdtA,efflux pump
Q6D2F0,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q6D2F1,Bifunctional polymyxin resistance protein ArnA,target alteration
Q6D2F3,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q6D469,Multidrug resistance protein MdtH,efflux pump
Q6D5W6,Multidrug resistance protein MdtK,efflux pump
Q6D8T5,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q6F813,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q6FBS3,Undecaprenyl-diphosphatase 3,target alteration
Q6FDP8,Undecaprenyl-diphosphatase 2,target alteration
Q6FEB4,Undecaprenyl-diphosphatase 1,target alteration
Q6FEY7,Probable multidrug resistance protein NorM,efflux pump
Q6FYL0,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q6G1V5,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q6G7E6,Multidrug resistance efflux pump SepA,efflux pump
Q6G8F6,Arsenical pump membrane protein,efflux pump
Q6G9C6,Quinolone resistance protein NorB,efflux pump
Q6G9E6,Response regulator ArlR,efflux pump
Q6G9J9,Phosphatidylglycerol lysyltransferase,target alteration
Q6G9Z5,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q6GBD5,Quinolone resistance protein NorA,efflux pump
Q6GBE4,HTH-type transcriptional regulator MgrA,efflux pump
Q6GBE7,Undecaprenyl-diphosphatase,target alteration
Q6GBH0,Sensor protein kinase GraS,target alteration
Q6GCD7,Multidrug export protein MepA,efflux pump
Q6GD71,Sensor protein kinase WalK,target alteration
Q6GEA2,Metallothiol transferase FosB,product inactivation
Q6GER1,Multidrug resistance efflux pump SepA,efflux pump
Q6GFT0,Arsenical pump membrane protein,efflux pump
Q6GGX2,Quinolone resistance protein NorB,efflux pump
Q6GGZ3,Response regulator ArlR,efflux pump
Q6GH45,Phosphatidylglycerol lysyltransferase,target alteration
Q6GHL7,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q6GIU7,Quinolone resistance protein NorA,efflux pump
Q6GIV6,HTH-type transcriptional regulator MgrA,efflux pump
Q6GIV9,Undecaprenyl-diphosphatase,target alteration
Q6GJY2,Multidrug export protein MepA,efflux pump
Q6GKQ0,rRNA adenine N-6-methyltransferase,target alteration
Q6GKR3,Bleomycin resistance protein,product inactivation
Q6GKS6,Sensor protein kinase WalK,target alteration
Q6HI21,Undecaprenyl-diphosphatase 4,target alteration
Q6HJT7,Metallothiol transferase FosB,product inactivation
Q6HLG8,Undecaprenyl-diphosphatase 3,target alteration
Q6HLG9,Probable multidrug resistance protein NorM,efflux pump
Q6HND2,Undecaprenyl-diphosphatase 2,target alteration
Q6HPB7,Undecaprenyl-diphosphatase 1,target alteration
Q6LQ49,Multidrug resistance protein NorM,efflux pump
Q6ME04,Undecaprenyl-diphosphatase,target alteration
Q6MPX9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q6NB79,Probable multidrug resistance protein NorM,efflux pump
Q6PT86,Guanidinium exporter,efflux pump
Q6PT90,Guanidinium exporter,efflux pump
Q71YH0,Probable multidrug resistance protein NorM,efflux pump
Q739M9,Metallothiol transferase FosB,product inactivation
Q73BB8,Probable multidrug resistance protein NorM,efflux pump
Q73V87,Multidrug resistance protein mmr,efflux pump
Q742C1,Response regulator MprA,efflux pump
Q76G15,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
Q799A3,Guanidinium exporter,efflux pump
Q79IF2,Guanidinium exporter,efflux pump
Q79K00,Guanidinium exporter,efflux pump
Q7A1J9,HTH-type transcriptional regulator MgrA,efflux pump
Q7A215,Sensor protein kinase WalK,target alteration
Q7A2M6,Multidrug resistance efflux pump SepA,efflux pump
Q7A305,Sensor protein kinase WalK,target alteration
Q7A4A6,Multidrug resistance efflux pump SepA,efflux pump
Q7A5M0,Quinolone resistance protein NorB,efflux pump
Q7A5R9,Phosphatidylglycerol lysyltransferase,target alteration
Q7A600,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q7A6X2,HTH-type transcriptional regulator MgrA,efflux pump
Q7A6Z3,Sensor protein kinase GraS,target alteration
Q7A7N0,Multidrug export protein MepA,efflux pump
Q7A8D1,Bleomycin resistance protein,product inactivation
Q7A8E0,Sensor protein kinase WalK,target alteration
Q7ACM1,Multidrug resistance protein MdtC,efflux pump
Q7AFA1,Multidrug resistance protein MdtH,efflux pump
Q7AKA4,Broad mercury transporter MerE,efflux pump
Q7ATH7,Bifunctional AAC/APH,product inactivation
Q7ATH9,Bifunctional AAC/APH,product inactivation
Q7CHI2,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q7CIC6,Spermidine export protein MdtJ,efflux pump
Q7CJG3,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q7CJL1,Putative multidrug resistance protein MdtD,efflux pump
Q7CP73,Multidrug resistance protein MdtM,efflux pump
Q7CP98,Guanidinium exporter,efflux pump
Q7CPG0,Purine ribonucleoside efflux pump NepI,efflux pump
Q7CQK0,Spermidine export protein MdtI,efflux pump
Q7CQK1,Spermidine export protein MdtJ,efflux pump
Q7DJ53,Bleomycin resistance protein,product inactivation
Q7M0R2,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
Q7M8U0,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q7M8Z9,Undecaprenyl-diphosphatase,target alteration
Q7MKP8,Multidrug resistance protein NorM,efflux pump
Q7MNZ4,Undecaprenyl-diphosphatase,target alteration
Q7MUH6,Undecaprenyl-diphosphatase,target alteration
Q7MZY0,Guanidinium exporter,efflux pump
Q7N0B9,Undecaprenyl-diphosphatase,target alteration
Q7N1G0,Probable multidrug resistance protein NorM,efflux pump
Q7N3E1,Multidrug resistance protein MdtC,efflux pump
Q7N3E2,Multidrug resistance protein MdtB,efflux pump
Q7N3E3,Multidrug resistance protein MdtA,efflux pump
Q7N3Q6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q7N3Q7,Bifunctional polymyxin resistance protein ArnA,target alteration
Q7N3Q9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q7N3V2,Multidrug resistance protein MdtK,efflux pump
Q7N536,Spermidine export protein MdtI,efflux pump
Q7N537,Spermidine export protein MdtJ,efflux pump
Q7N568,Multidrug resistance protein MdtH,efflux pump
Q7N6F9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q7NG92,Undecaprenyl-diphosphatase,target alteration
Q7NUJ3,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q7NWQ2,Undecaprenyl-diphosphatase 2,target alteration
Q7NXN3,Probable multidrug resistance protein NorM,efflux pump
Q7NYE7,Undecaprenyl-diphosphatase 1,target alteration
Q7U042,Probable triacylglyceride transporter Mb1445c,efflux pump
Q7U0X4,Response regulator MprA,efflux pump
Q7U482,Undecaprenyl-diphosphatase,target alteration
Q7UAH8,Multidrug resistance protein MdtK,efflux pump
Q7UC63,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q7ULB5,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q7UNQ8,Undecaprenyl-diphosphatase,target alteration
Q7V1C3,Undecaprenyl-diphosphatase,target alteration
Q7V8Z1,Undecaprenyl-diphosphatase,target alteration
Q7VCK5,Undecaprenyl-diphosphatase,target alteration
Q7VEQ2,Undecaprenyl-diphosphatase,target alteration
Q7VMB5,Probable multidrug resistance protein NorM,efflux pump
Q7VMF9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q7VQX5,Multidrug resistance protein MdtH,efflux pump
Q7VXA0,Undecaprenyl-diphosphatase,target alteration
Q7W0D3,Virginiamycin B lyase,product inactivation
Q7W866,Undecaprenyl-diphosphatase,target alteration
Q7WAK9,Probable multidrug resistance protein NorM,efflux pump
Q7WCA6,Virginiamycin B lyase,product inactivation
Q7WJR0,Probable multidrug resistance protein NorM,efflux pump
Q7WLL4,Undecaprenyl-diphosphatase,target alteration
Q7WQB0,Virginiamycin B lyase,product inactivation
Q7WTR3,Multidrug resistance protein MdtK,efflux pump
Q81CP1,Undecaprenyl-diphosphatase 3,target alteration
Q81EF2,Metallothiol transferase FosB,product inactivation
Q81G27,Undecaprenyl-diphosphatase 2,target alteration
Q81G28,Probable multidrug resistance protein NorM,efflux pump
Q81HV4,Undecaprenyl-diphosphatase 1,target alteration
Q81RK2,Metallothiol transferase FosB 1,product inactivation
Q81T84,Undecaprenyl-diphosphatase 2,target alteration
Q81T85,Probable multidrug resistance protein NorM,efflux pump
Q81V21,Undecaprenyl-diphosphatase 3,target alteration
Q81VC9,Undecaprenyl-diphosphatase 1,target alteration
Q81W73,Metallothiol transferase FosB 2,product inactivation
Q827A4,Undecaprenyl-diphosphatase 2,target alteration
Q82NI4,Undecaprenyl-diphosphatase 1,target alteration
Q82VK1,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q82Y49,Undecaprenyl-diphosphatase,target alteration
Q831R1,Undecaprenyl-diphosphatase,target alteration
Q83GH4,Undecaprenyl-diphosphatase,target alteration
Q83HQ7,Undecaprenyl-diphosphatase,target alteration
Q83IQ8,Multidrug resistance protein MdtO,efflux pump
Q83KB6,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q83KF5,Putative multidrug resistance outer membrane protein MdtQ,efflux pump
Q83KI4,Multidrug resistance protein MdtC,efflux pump
Q83KI5,Putative multidrug resistance protein MdtA,efflux pump
Q83LI8,Multidrug resistance protein MdtH,efflux pump
Q83LR7,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q83P86,Multidrug resistance protein MdtN,efflux pump
Q83P87,Multidrug resistance outer membrane protein MdtP,efflux pump
Q83PL6,Multidrug resistance protein MdtL,efflux pump
Q83PR0,HTH-type transcriptional regulator GadX,efflux pump
Q83QT8,Bifunctional polymyxin resistance protein ArnA,target alteration
Q83QZ0,Putative multidrug resistance protein MdtD,efflux pump
Q83RD1,Spermidine export protein MdtI,efflux pump
Q83RR0,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
Q83RR1,Virulence sensor protein PhoQ,target alteration, efflux pump
Q848S4,Beta-lactamase SHV-46,product inactivation
Q848S6,Carbapenem-hydrolyzing beta-lactamase KPC,product inactivation
Q849R0,Probable efflux pump membrane transporter SepB,efflux pump
Q879Z5,Probable multidrug resistance protein NorM,efflux pump
Q87CN8,Undecaprenyl-diphosphatase,target alteration
Q87FV4,Multidrug resistance protein MdtL,efflux pump
Q87JM4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q87K03,Pentapeptide repeat protein VPA0095,target alteration
Q87SL0,Undecaprenyl-diphosphatase,target alteration
Q880L3,Undecaprenyl-diphosphatase,target alteration
Q881Q1,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q884D4,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q88BA2,Probable multidrug resistance protein NorM,efflux pump
Q88CB9,Probable multidrug resistance protein NorM,efflux pump
Q88F88,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q88IY7,Undecaprenyl-diphosphatase,target alteration
Q88N31,Probable efflux pump membrane transporter TtgB,efflux pump
Q88SK7,Undecaprenyl-diphosphatase,target alteration
Q898B8,Undecaprenyl-diphosphatase,target alteration
Q89A96,Multidrug resistance-like ATP-binding protein MdlB,efflux pump
Q89A97,Multidrug resistance-like ATP-binding protein MdlA,efflux pump
Q89AX2,Probable multidrug resistance protein NorM,efflux pump
Q89NX6,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q89W72,Probable multidrug resistance protein NorM,efflux pump
Q89WH1,Undecaprenyl-diphosphatase,target alteration
Q8A2U3,Undecaprenyl-diphosphatase,target alteration
Q8A6M3,Lipid A 4'-phosphatase,target alteration
Q8CNE9,Lipid II:glycine glycyltransferase,target alteration
Q8CPC0,Phosphatidylglycerol lysyltransferase,target alteration
Q8CQF4,Arsenical pump membrane protein,efflux pump
Q8CRK7,Multidrug resistance efflux pump SepA,efflux pump
Q8CSW0,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q8CTJ6,Undecaprenyl-diphosphatase,target alteration
Q8CUL5,Probable multidrug resistance protein NorM,efflux pump
Q8CVH8,Multidrug resistance outer membrane protein MdtP,efflux pump
Q8CVL1,Multidrug resistance protein MdtE,efflux pump
Q8CVW1,Outer membrane porin C,efflux pump
Q8CVX8,Multidrug resistance protein MdtA,efflux pump
Q8CWA4,Cation efflux system protein CusC,efflux pump
Q8CWZ1,Undecaprenyl-diphosphatase,target alteration
Q8CXK0,Undecaprenyl-diphosphatase,target alteration
Q8CXK5,Metallothiol transferase FosB,product inactivation
Q8CXZ9,Transcriptional regulatory protein PhoP,target alteration, efflux pump
Q8D1E4,Guanidinium exporter,efflux pump
Q8D281,Undecaprenyl-diphosphatase,target alteration
Q8D339,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q8D341,Bifunctional polymyxin resistance protein ArnA,target alteration
Q8D342,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q8D9N8,Multidrug resistance protein NorM,efflux pump
