CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3000851,CAC33832.1,THIN-B beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000853,CAQ53840.1,AIM beta-lactamase,product inactivation,cephalosporin;cephamycin;penam
ARO:3000854,BAL14456.1,SMB beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000855,CAC87665.1,CAU beta-lactamase,product inactivation,carbapenem;penam
ARO:3000856,AND91341.1,BJP beta-lactamase,product inactivation,carbapenem
ARO:3000858,ADC55560.1,16S rRNA methyltransferase (G1405),target alteration,aminoglycoside antibiotic
ARO:3000859,BAC20579.1,16S rRNA methyltransferase (G1405),target alteration,aminoglycoside antibiotic
ARO:3000860,CAP07796.1,16S rRNA methyltransferase (G1405),target alteration,aminoglycoside antibiotic
ARO:3000861,AIA09786.1,16S rRNA methyltransferase (G1405),target alteration,aminoglycoside antibiotic
ARO:3000862,WP_063978071.1,16S rRNA methyltransferase (G1405),target alteration,aminoglycoside antibiotic
ARO:3000865,ABA42119.2,ole glycosyltransferase,product inactivation,macrolide antibiotic
ARO:3000866,ABA42118.2,ole glycosyltransferase,product inactivation,macrolide antibiotic
ARO:3000873,CAD09800.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000874,CAA38429.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000875,CAA45828.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000876,CDR98216.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000877,WP_109963600.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000878,CAA41038.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000879,AAO33760.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000880,CAA46344.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000881,WP_102607453.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000882,AAC72362.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000883,AAW66604.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000884,AAA25053.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000886,CAO98721.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000887,CAA46346.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000888,CAA74912.2,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000890,AFN21551.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000891,CAA76793.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000892,CAA76794.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000893,CAA76795.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000894,CAA46345.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000896,WP_047028173.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000898,AAC32891.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000899,CAA76796.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000900,CAD24670.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000901,WP_165539487.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000902,WP_052944427.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000903,ADL13944.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000904,AGE11905.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000905,WP_063864910.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000906,WP_075985685.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000907,WP_159373457.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000909,WP_148044474.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000910,CBX53726.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000911,CAA66659.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000912,AAC32889.2,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000914,CAA64682.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000916,CAA71322.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000917,CAA71323.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000918,CAA71324.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000921,CAA73933.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000922,AAD22538.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000923,AAD22539.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000924,ABB97007.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000926,ACJ43254.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000928,AAD45935.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000929,AAC05975.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000931,AAK17194.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000934,AAD33116.2,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000935,CAB92324.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000936,AAF01046.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000937,AAL03985.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000938,AAF19151.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000939,CAB65358.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000941,AAN05028.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000942,AAF05613.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000944,AAF05612.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000946,AAF05611.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000947,AAM15527.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000948,AAL29433.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000949,AAL29434.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000950,AAL29435.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000951,AAL29436.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000952,CAC43229.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000953,CAC43230.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000954,AAG44570.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000955,AAK14792.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000956,AAK71474.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000957,AAK30619.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000958,BAB16308.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000959,AAF66653.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000960,CAC85660.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000961,CAC85661.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000962,CAC67290.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000963,AAM22276.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000964,AAM18924.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000965,AAK82652.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000967,AAM61952.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000968,AAM61953.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000969,AAM52207.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000970,AAM52215.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000971,AAM28884.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000972,AAT46413.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000973,AAL68923.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000974,AAL77062.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000975,AAS89982.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000976,AAS89983.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000977,AAS89984.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000978,AAN04881.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000979,AAB39956.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000980,AAN05026.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000981,AAN05029.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000982,AAO85882.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000983,AAQ01671.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000984,AAQ98890.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000985,AAQ93490.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000986,AAQ93491.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000987,AAT46414.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000988,AAT45742.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000989,AAR89358.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000990,AAR89359.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000993,CAG34105.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000994,CAI29263.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000995,AAR10958.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000996,AAR84298.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000997,AAS19171.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000998,AAS79107.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3000999,CAG25427.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001000,AAV83795.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001001,CAL08007.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001002,AAW47922.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001003,AAZ23494.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001004,AAX56615.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001005,ABD60314.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001006,AAY85632.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001007,CAJ17558.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001012,AAZ14083.2,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001013,AAZ14084.2,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001014,ABB84515.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001015,CAJ32372.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001016,ABC96711.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001017,CAJ66089.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001018,ABI74448.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001019,ABI74447.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001020,ACO07310.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001021,ABG77582.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001022,CAQ00120.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001023,ABI81768.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001024,ABQ00181.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001025,ABM54869.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001026,ABM54870.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001028,ABO64442.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001029,ACF32746.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001030,ABX71157.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001032,ACI25375.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001033,ACJ04051.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001034,ACR22829.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001035,ACP18864.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001037,ADA79630.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001041,ADB90239.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001042,CBJ06718.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001043,CAA65888.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001044,WP_000027060.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001045,ADR71220.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001046,AET99222.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001047,ADM61585.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001048,AEL17198.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001049,AEL79515.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001050,AEL88240.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001051,APY23677.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001052,AEQ59620.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3001053,AFC75523.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
